ERR009159,seq2HLA,rna2hla,arcasHLA,HLAforest,Optitype ,PHLAT,HLAMiner,HLA-HD,HLAvbseq,T1K,HISAT-genotype,HLApers
1,73.48 MB,96.89 MB,2.39 GB,4.60 GB,13.47 GB,3.29 GB,1.56 GB,4.28 GB,7.07 GB,4.55 GB,7.27 GB,2.23 GB
2,73.30 MB,120.63 MB,2.35 GB,3.46 GB,13.59 GB,3.29 GB,1.56 GB,12.29 GB,7.07 GB,4.55 GB,7.38 GB,2.23 GB
3,73.64 MB,96.87 MB,2.35 GB,4.60 GB,13.47 GB,3.28 GB,1.56 GB,10.71 GB,7.07 GB,4.55 GB,7.38 GB,2.23 GB
4,57.35 MB,96.97 MB,2.39 GB,3.59 GB,14.90 GB,3.29 GB,1.56 GB,15.75 GB,6.93 GB,4.55 GB,7.38 GB,2.23 GB
5,71.91 MB,96.95 MB,2.69 GB,4.60 GB,13.58 GB,3.28 GB,1.56 GB,12.45 GB,6.99 GB,4.52 GB,7.38 GB,2.23 GB
6,78.69 MB,96.80 MB,2.67 GB,3.27 GB,13.58 GB,3.29 GB,1.56 GB,12.74 GB,7.03 GB,4.52 GB,7.32 GB,2.23 GB
7,76.89 MB,96.56 MB,3.02 GB,5.00 GB,13.59 GB,3.29 GB,1.56 GB,17.67 GB,7.06 GB,4.52 GB,7.30 GB,2.23 GB
8,79.11 MB,120.05 MB,3.19 GB,5.03 GB,14.74 GB,3.29 GB,1.56 GB,1.43 GB,7.07 GB,4.52 GB,7.38 GB,2.23 GB
9,77.28 MB,120.46 MB,2.85 GB,4.66 GB,13.47 GB,3.29 GB,1.56 GB,6.17 GB,7.07 GB,4.52 GB,7.32 GB,2.23 GB
10,75.67 MB,120.55 MB,2.35 GB,4.16 GB,13.47 GB,3.29 GB,1.56 GB,5.88 GB,6.99 GB,4.52 GB,7.31 GB,2.23 GB
avg,,,,,,,,,,,,
,,,,,,,,,,,,
ERR009168,seq2HLA,rna2hla,arcasHLA,HLAforest,Optitype ,PHLAT,HLAMiner,HLA-HD,HLAvbseq,T1K,HISAT-genotype,HLApers
1,61.47 MB,96.17 MB,2.10 GB,4.46 GB,11.41 GB,3.29 GB,1.56 GB,13.56 GB,4.81 GB,3.98 GB,7.07 GB,1.99 GB
2,69.44 MB,96.31 MB,2.10 GB,4.87 GB,13.00 GB,3.28 GB,1.56 GB,1.43 GB,4.42 GB,3.98 GB,7.21 GB,1.99 GB
3,77.50 MB,96.21 MB,2.10 GB,4.45 GB,11.41 GB,3.29 GB,1.56 GB,2.96 GB,4.46 GB,3.98 GB,7.37 GB,1.99 GB
4,62.23 MB,96.59 MB,2.10 GB,4.45 GB,11.41 GB,3.29 GB,1.57 GB,1.59 GB,4.88 GB,3.98 GB,7.03 GB,1.99 GB
5,75.33 MB,96.62 MB,2.10 GB,4.45 GB,11.41 GB,3.29 GB,1.56 GB,14.49 GB,4.43 GB,4.10 GB,7.06 GB,1.99 GB
6,76.75 MB,96.88 MB,2.10 GB,3.48 GB,13.07 GB,3.28 GB,1.57 GB,8.78 GB,4.84 GB,3.98 GB,7.37 GB,1.99 GB
7,76.65 MB,96.59 MB,2.10 GB,4.45 GB,13.09 GB,3.29 GB,1.56 GB,823.23 MB,5.62 GB,3.98 GB,7.03 GB,1.99 GB
8,52.68 MB,96.68 MB,2.10 GB,3.48 GB,11.41 GB,3.28 GB,1.57 GB,632.10 MB,4.30 GB,3.95 GB,7.06 GB,1.99 GB
9,68.52 MB,96.61 MB,2.10 GB,4.45 GB,11.41 GB,3.28 GB,1.57 GB,13.58 GB,5.45 GB,3.95 GB,7.07 GB,1.99 GB
10,76.41 MB,96.64 MB,2.10 GB,3.48 GB,12.73 GB,3.29 GB,1.57 GB,13.58 GB,4.77 GB,3.95 GB,7.07 GB,1.99 GB
avg,,,,,,,,,,,,
,,,,,,,,,,,,
SRR13280655,seq2HLA,rna2hla,arcasHLA,HLAforest,Optitype ,PHLAT,HLAMiner,HLA-HD,HLAvbseq,T1K,HISAT-genotype,HLApers
1,118.21 MB,115.84 MB,1.76 GB,4.17 GB,16.62 GB,3.40 GB,284.68 MB,1.47 GB,1.50 GB,6.56 GB,7.31 GB,1.56 GB
2,118.85 MB,124.06 MB,1.76 GB,3.79 GB,18.40 GB,3.40 GB,284.62 MB,2.87 GB,1.50 GB,6.57 GB,7.35 GB,1.56 GB
3,116.41 MB,116.23 MB,1.75 GB,3.11 GB,15.93 GB,3.40 GB,284.84 MB,5.10 GB,1.51 GB,6.52 GB,7.39 GB,1.56 GB
4,116.39 MB,115.96 MB,1.75 GB,3.56 GB,16.00 GB,3.40 GB,284.79 MB,6.73 GB,1.50 GB,6.56 GB,7.38 GB,1.56 GB
5,108.84 MB,115.89 MB,1.76 GB,3.12 GB,17.41 GB,3.41 GB,284.72 MB,7.26 GB,1.51 GB,6.56 GB,7.39 GB,1.56 GB
6,117.25 MB,115.98 MB,1.75 GB,3.79 GB,16.06 GB,3.40 GB,284.79 MB,7.85 GB,1.50 GB,6.56 GB,7.38 GB,1.56 GB
7,118.83 MB,115.90 MB,1.75 GB,3.19 GB,17.88 GB,3.40 GB,284.56 MB,6.73 GB,1.51 GB,6.56 GB,7.35 GB,1.56 GB
8,105.35 MB,115.60 MB,1.75 GB,3.78 GB,17.48 GB,3.40 GB,284.68 MB,6.19 GB,1.51 GB,6.57 GB,7.35 GB,1.56 GB
9,120.18 MB,115.87 MB,1.74 GB,3.83 GB,15.87 GB,3.40 GB,284.45 MB,11.53 GB,1.51 GB,6.57 GB,7.35 GB,1.56 GB
10,77.53 MB,125.20 MB,1.75 GB,4.13 GB,17.65 GB,3.40 GB,284.63 MB,11.53 GB,1.51 GB,6.56 GB,7.35 GB,1.56 GB
avg,,,,,,,,,,,,
,,,,,,,,,,,,
SRR13280656,seq2HLA,rna2hla,arcasHLA,HLAforest,Optitype ,PHLAT,HLAMiner,HLA-HD,HLAvbseq,T1K,HISAT-genotype,HLApers
1,75.00 MB,112.60 MB,1.32 GB,3.60 GB,6.14 GB,3.41 GB,195.79 MB,6.23 GB,1.48 GB,5.37 GB,7.27 GB,1.25 GB
2,97.73 MB,112.46 MB,1.30 GB,3.22 GB, 6.14 GB,3.40 GB,191.74 MB,2.12 GB,1.95 GB,5.28 GB,7.39 GB,1.25 GB
3,101.71 MB,112.47 MB,1.30 GB,3.03 GB,7.35 GB,3.41 GB,191.54 MB,1.95 GB,1.96 GB,5.28 GB,7.38 GB,1.25 GB
4,68.78 MB,112.44 MB,1.30 GB,4.07 GB,6.14 GB,3.42 GB,191.65 MB,6.49 GB,1.47 GB,5.28 GB,7.37 GB,1.25 GB
5,91.73 MB,112.45 MB,1.30 GB,3.59 GB,6.21 GB,3.41 GB,191.64 MB,2.12 GB,1.95 GB,5.28 GB,7.37 GB,1.25 GB
6,106.91 MB,112.45 MB,1.30 GB,2.72 GB,6.26 GB,3.41 GB,191.59 MB,5.65 GB,1.97 GB,5.29 GB,7.37 GB,1.25 GB
7,101.51 MB,112.52 MB,1.31 GB,2.89 GB, 6.20 GB,3.41 GB,191.77 MB,2.26 GB,1.48 GB,5.28 GB,7.39 GB,1.25 GB
8,103.20 MB,112.57 MB,1.31 GB,3.60 GB,6.14 GB,3.40 GB,191.61 MB,3.96 GB,1.99 GB,5.29 GB,7.38 GB,1.25 GB
9,76.45 MB,112.56 MB,1.32 GB,2.87 GB,6.14 GB,3.41 GB,191.68 MB,3.24 GB,1.48 GB,5.29 GB,7.38 GB,1.25 GB
10,101.38 MB,112.53 MB,1.30 GB,3.59 GB,6.79 GB,3.41 GB,191.51 MB,3.91 GB,1.95 GB,5.28 GB,7.38 GB,1.25 GB
avg,,,,,,,,,,,,
,,,,,,,,,,,,
SRR5252837,seq2HLA,rna2hla,arcasHLA,HLAforest,Optitype ,PHLAT,HLAMiner,HLA-HD,HLAvbseq,T1K,HISAT-genotype,HLApers
1,99.68 MB,110.32 MB,1.52 GB,1.75 GB,5.74 GB,3.40 GB,201.29 MB,4.45 GB,1.75 GB,5.25 GB,7.25 GB,1.38 GB
2,101.39 MB,143.32 MB,1.55 GB,1.56 GB,5.73 GB,3.39 GB,200.96 MB,3.65 GB,1.75 GB,5.25 GB,7.38 GB,1.38 GB
3,99.60 MB,110.13 MB,1.56 GB,2.48 GB,5.43 GB,3.38 GB,200.58 MB,4.08 GB,1.79 GB,5.20 GB,7.38 GB,1.38 GB
4,101.60 MB,109.99 MB,1.52 GB,1.56 GB,5.62 GB,3.39 GB,201.27 MB,1.73 GB,1.77 GB,5.25 GB,7.38 GB,1.38 GB
5,99.52 MB,110.40 MB,1.55 GB,1.61 GB,5.40 GB,3.39 GB,201.20 MB,4.65 GB,1.74 GB,5.25 GB,7.32 GB,1.38 GB
6,83.68 MB,110.30 MB,1.56 GB,1.58 GB,5.67 GB,3.39 GB,203.07 MB,3.53 GB,1.77 GB,5.17 GB,7.30 GB,1.38 GB
7,106.30 MB,110.32 MB,1.53 GB,1.73 GB,5.60 GB,3.40 GB,201.09 MB,1.97 GB,1.76 GB,5.17 GB,7.38 GB,1.38 GB
8,103.93 MB,110.39 MB,1.55 GB,1.56 GB,5.40 GB,3.41 GB,203.53 MB,507.70 MB,1.75 GB,5.17 GB,7.32 GB,1.38 GB
9,101.53 MB,110.34 MB,1.52 GB,1.73 GB,5.63 GB,3.39 GB,201.18 MB,503.93 MB,1.78 GB,5.17 GB,7.25 GB,1.38 GB
10,104.71 MB,114.11 MB,1.56 GB,1.61 GB,5.31 GB,3.39 GB,201.06 MB,505.62 MB,1.75 GB,5.25 GB,7.25 GB,1.38 GB
avg,,,,,,,,,,,,
,,,,,,,,,,,,
SRR5252835,seq2HLA,rna2hla,arcasHLA,HLAforest,Optitype ,PHLAT,HLAMiner,HLA-HD,HLAvbseq,T1K,HISAT-genotype,HLApers
1,100.73 MB,142.59 MB,1.07 GB,489.47 MB,866.57 MB,3.38 GB,121.12 MB,2.21 GB,1.22 GB,2.72 GB,7.38 GB,1015.41 MB
2,97.74 MB,144.29 MB,1.07 GB,515.68 MB,866.84 MB,3.38 GB,119.89 MB,479.20 MB,1.65 GB,2.70 GB,7.38 GB,1015.39 MB
3,97.82 MB,146.47 MB,1.07 GB,498.89 MB,974.93 MB,3.38 GB,121.17 MB,520.12 MB,1.22 GB,2.70 GB,7.38 GB,1015.32 MB
4,99.73 MB,137.55 MB,1.07 GB,523.38 MB,866.91 MB,3.38 GB,121.14 MB,491.48 MB,1.22 GB,2.69 GB,7.38 GB,1015.36 MB
5,98.93 MB,139.41 MB,1.07 GB,481.41 MB,187.91 MB,3.38 GB,121.26 MB,2.47 GB,1.21 GB,2.69 GB,7.38 GB,616.05 MB
6,101.02 MB,105.70 MB,1.07 GB,495.44 MB,872.32 MB,3.38 GB,119.71 MB,509.29 MB,1.22 GB,2.69 GB,7.38 GB,1015.38 MB
7,97.93 MB,105.94 MB,1.07 GB,495.86 MB,486.78 MB,3.38 GB,121.19 MB,501.15 MB,1.22 GB,2.69 GB,7.38 GB,1015.37 MB
8,101.05 MB,105.47 MB,1.07 GB,493.69 MB,925.96 MB,3.44 GB,121.11 MB,967.89 MB,1.22 GB,2.65 GB,7.38 GB,1015.33 MB
9,102.73 MB,105.63 MB,1.07 GB,481.97 MB,884.45 MB,3.40 GB,121.03 MB,514.87 MB,1.22 GB,2.65 GB,7.37 GB,1015.37 MB
10,103.70 MB,146.60 MB,1.07 GB,489.42 MB,294.11 MB,3.43 GB,121.04 MB,655.65 MB,1.22 GB,2.69 GB,7.37 GB,1015.41 MB
avg,,,,,,,,,,,,
,,,,,,,,,,,,
ERR188023,seq2HLA,rna2hla,arcasHLA,HLAforest,Optitype ,PHLAT,HLAMiner,HLA-HD,HLAvbseq,T1K,HISAT-genotype,HLApers
1,95.27 MB,133.16 MB,4.21 GB,3.80 GB,24.48 GB,3.36 GB,465.43 MB,13.90 GB,3.14 GB,10.84 GB,7.38 GB,2.67 GB
2,92.63 MB,101.64 MB,4.23 GB,3.36 GB,22.19 GB,3.34 GB,464.02 MB,2.61 GB,3.13 GB,10.84 GB,7.39 GB,2.67 GB
3,92.73 MB,101.66 MB,4.21 GB,4.10 GB,22.19 GB,3.34 GB,464.04 MB,13.90 GB,3.13 GB,10.06 GB,7.38 GB,2.67 GB
4,92.65 MB,133.03 MB,4.21 GB,3.24 GB,22.19 GB,3.34 GB,464.46 MB,13.51 GB,3.14 GB,10.06 GB,7.38 GB,2.67 GB
5,91.70 MB,133.05 MB,4.21 GB,3.78 GB,24.66 GB,3.34 GB,460.17 MB,13.90 GB,3.15 GB,10.84 GB,7.38 GB,2.67 GB
6,92.73 MB,133.25 MB,4.21 GB,4.09 GB,25.17 GB,3.34 GB,465.82 MB,3.04 GB,3.14 GB,11.02 GB,7.38 GB,2.67 GB
7,92.89 MB,102.03 MB,4.21 GB,3.81 GB,22.19 GB,3.34 GB,464.71 MB,11.82 GB,3.15 GB,10.85 GB,7.38 GB,2.67 GB
8,93.62 MB,101.79 MB,4.57 GB,3.73 GB, 23.77 GB,3.34 GB,464.03 MB,8.18 GB,3.14 GB,10.85 GB,7.39 GB,2.67 GB
9,90.74 MB,133.48 MB,4.41 GB,3.77 GB,23.08 GB,3.34 GB,464.07 MB,11.34 GB,3.13 GB,10.85 GB,7.39 GB,2.67 GB
10,90.67 MB,101.80 MB,4.21 GB,4.25 GB, 25.16 GB,3.34 GB,462.06 MB,13.90 GB,3.13 GB,10.85 GB,7.39 GB,2.67 GB
avg,,,,,,,,,,,,
,,,,,,,,,,,,
ERR188021,seq2HLA,rna2hla,arcasHLA,HLAforest,Optitype ,PHLAT,HLAMiner,HLA-HD,HLAvbseq,T1K,HISAT-genotype,HLApers
1,86.38 MB,101.82 MB,4.82 GB,3.60 GB,5.48 GB,3.34 GB,483.40 MB,10.09 GB,2.75 GB,9.78 GB,7.38 GB,2.30 GB
2,96.80 MB,131.43 MB,3.50 GB,3.72 GB,5.48 GB,3.34 GB,489.19 MB,10.09 GB,2.76 GB,9.78 GB,7.38 GB,2.30 GB
3,94.86 MB,101.89 MB,3.51 GB,3.73 GB,5.41 GB,3.34 GB,489.17 MB,11.26 GB,2.73 GB,9.82 GB,7.38 GB,2.30 GB
4,97.45 MB,101.83 MB,3.50 GB,3.73 GB,5.92 GB,3.34 GB,486.48 MB,8.58 GB,2.76 GB,9.82 GB,7.37 GB,2.30 GB
5,94.86 MB,102.04 MB,3.51 GB,3.73 GB,5.54 GB,3.34 GB,490.14 MB,6.85 GB,2.76 GB,9.82 GB,7.37 GB,2.30 GB
6,96.83 MB,101.95 MB,3.51 GB,3.98 GB,5.40 GB,3.35 GB,489.07 MB,1.43 GB,2.75 GB,9.78 GB,7.37 GB,2.30 GB
7,96.84 MB,101.97 MB,3.51 GB,3.73 GB,5.03 GB,3.34 GB,485.48 MB,2.31 GB,2.76 GB,9.78 GB,7.38 GB,2.30 GB
8,96.81 MB,101.84 MB,3.51 GB,3.51 GB,5.04 GB,3.34 GB,485.48 MB,486.88 MB,2.76 GB,9.87 GB,7.38 GB,2.30 GB
9,96.82 MB,101.82 MB,3.53 GB,3.48 GB,5.49 GB,3.35 GB,485.47 MB,4.43 GB,2.76 GB,9.87 GB,7.38 GB,2.30 GB
10,96.85 MB,102.03 MB,3.50 GB,3.72 GB,5.51 GB,3.34 GB,485.41 MB,9.17 GB,2.76 GB,9.78 GB,7.38 GB,2.30 GB
avg,,,,,,,,,,,,
,,,,,,,,,,,,
GSM2450855,seq2HLA,rna2hla,arcasHLA,HLAforest,Optitype ,PHLAT,HLAMiner,HLA-HD,HLAvbseq,T1K,HISAT-genotype,HLApers
1,62.52 MB,99.80 MB,2.99 GB,3.14 GB,2.98 GB,3.30 GB,2.43 GB,8.96 GB,5.35 GB,2.38 GB,7.38 GB,1.63 GB
2,79.20 MB,99.96 MB,3.06 GB,2.64 GB,2.65 GB,3.29 GB,2.25 GB,3.70 GB,5.27 GB,2.39 GB,7.38 GB,1.63 GB
3,80.27 MB,99.10 MB,1.31 GB,3.93 GB,3.01 GB,3.31 GB,2.42 GB,3.99 GB,5.36 GB,2.39 GB,7.37 GB,1.63 GB
4,77.48 MB,99.25 MB,3.05 GB,2.80 GB,3.95 GB,3.30 GB,2.44 GB,4.09 GB,5.36 GB,2.39 GB,7.37 GB,1.63 GB
5,77.53 MB,121.54 MB,3.03 GB,3.10 GB,2.95 GB,3.29 GB,2.44 GB,7.80 GB,4.81 GB,2.39 GB,7.37 GB,1.63 GB
6,62.28 MB,99.16 MB,3.04 GB,2.89 GB,3.97 GB,3.30 GB,2.44 GB,8.92 GB,4.99 GB,2.39 GB,7.37 GB,1.63 GB
7,62.26 MB,120.99 MB,2.97 GB,4.02 GB,2.97 GB,3.29 GB,2.43 GB,1.58 GB,5.18 GB,2.38 GB,7.37 GB,1.63 GB
8,77.90 MB,113.97 MB,3.04 GB,3.55 GB,2.65 GB,3.29 GB,2.43 GB,1.46 GB,5.28 GB,2.38 GB,7.38 GB,1.63 GB
9,76.91 MB,99.23 MB,3.07 GB,3.53 GB,2.99 GB,3.30 GB,2.39 GB,8.26 GB,5.26 GB,2.39 GB,7.38 GB,1.63 GB
10,86.43 MB,100.35 MB,1.31 GB,2.64 GB,4.02 GB,3.29 GB,2.34 GB,8.94 GB,5.36 GB,2.38 GB,7.38 GB,1.63 GB
avg,,,,,,,,,,,,
,,,,,,,,,,,,
GSM2450856,seq2HLA,rna2hla,arcasHLA,HLAforest,Optitype ,PHLAT,HLAMiner,HLA-HD,HLAvbseq,T1K,HISAT-genotype,HLApers
1,87.36 MB,99.78 MB,3.22 GB,4.91 GB,4.93 GB,3.35 GB,3.25 GB,1.62 GB,8.31 GB,3.05 GB,7.38 GB,2.95 GB
2,85.36 MB,121.78 MB,3.22 GB,4.43 GB,4.85 GB,3.30 GB,3.26 GB,16.14 GB,8.48 GB,2.98 GB,7.38 GB,2.95 GB
3,79.50 MB,99.80 MB,3.12 GB,4.48 GB,3.75 GB,3.30 GB,3.25 GB,16.34 GB,8.10 GB,2.98 GB,7.38 GB,2.95 GB
4,86.38 MB,100.08 MB,2.62 GB,4.48 GB,4.98 GB,3.32 GB,3.24 GB,16.34 GB,8.74 GB,2.98 GB,7.38 GB,2.95 GB
5,84.81 MB,100.09 MB,2.62 GB,4.66 GB,4.93 GB,3.31 GB,3.26 GB,16.34 GB,8.74 GB,3.05 GB,7.38 GB,2.95 GB
6,85.12 MB,100.05 MB,2.71 GB,4.42 GB,6.06 GB,3.30 GB,3.30 GB,16.34 GB,8.72 GB,3.04 GB,7.38 GB,2.95 GB
7,85.40 MB,100.34 MB,2.73 GB,4.42 GB,4.96 GB,3.30 GB,3.26 GB,16.34 GB,8.72 GB,3.05 GB,7.38 GB,2.95 GB
8,80.04 MB,100.05 MB,2.62 GB,4.41 GB,4.94 GB,3.30 GB,3.24 GB,1.61 GB,8.72 GB,3.05 GB,7.37 GB,2.95 GB
9,87.45 MB,100.09 MB,2.62 GB,4.91 GB,5.29 GB,3.30 GB,3.25 GB,16.22 GB,8.72 GB,3.05 GB,7.38 GB,2.95 GB
10,80.01 MB,99.82 MB,3.22 GB,4.92 GB,4.95 GB,3.30 GB,3.27 GB,17.18 GB,8.37 GB,3.05 GB,7.32 GB,2.95 GB
avg,,,,,,,,,,,,
,,,,,,,,,,,,
GSM3768244,seq2HLA,rna2hla,arcasHLA,HLAforest,Optitype ,PHLAT,HLAMiner,HLA-HD,HLAvbseq,T1K,HISAT-genotype,HLApers
1,92.59 MB,95.01 MB,1.17 GB,2.40 GB,1.91 GB,3.30 GB,405.28 MB,8.08 GB,1.66 GB,1.80 GB,7.38 GB,1.32 GB
2,80.71 MB,94.87 MB,1.17 GB,2.40 GB,2.33 GB,3.30 GB,401.33 MB,7.07 GB,1.66 GB,1.78 GB,7.38 GB,1.32 GB
3,91.72 MB,94.94 MB,1.17 GB,2.40 GB,1.94 GB,3.30 GB,405.24 MB,6.47 GB,1.66 GB,1.80 GB,7.37 GB,1.32 GB
4,91.71 MB,118.72 MB,1.17 GB,2.40 GB,2.27 GB,3.30 GB,401.12 MB,1.45 GB,1.65 GB,1.80 GB,7.37 GB,1.32 GB
5,72.90 MB,94.93 MB,1.17 GB,2.81 GB,2.48 GB,3.30 GB,405.27 MB,4.60 GB,1.66 GB,1.81 GB,7.37 GB,1.32 GB
6,73.13 MB,94.95 MB,1.17 GB,2.41 GB,2.44 GB,3.30 GB,405.29 MB,2.62 GB,1.65 GB,1.79 GB,7.37 GB,1.32 GB
7,84.56 MB,94.96 MB,1.17 GB,2.41 GB,1.88 GB,3.30 GB,403.26 MB,2.31 GB,1.67 GB,1.82 GB,7.37 GB,1.32 GB
8,74.81 MB,116.39 MB,1.17 GB,2.82 GB,1.87 GB,3.30 GB,401.19 MB,1.85 GB,1.67 GB,1.81 GB,7.39 GB,1.32 GB
9,92.51 MB,116.70 MB,1.17 GB,2.41 GB,1.92 GB,3.30 GB,401.28 MB,4.72 GB,1.66 GB,1.80 GB,7.37 GB,1.32 GB
10,80.15 MB,94.95 MB,1.17 GB,2.40 GB,2.33 GB,3.30 GB,405.25 MB,1.44 GB,1.66 GB,1.80 GB,7.37 GB,1.32 GB
avg,,,,,,,,,,,,
,,,,,,,,,,,,
GSM3768245,seq2HLA,rna2hla,arcasHLA,HLAforest,Optitype ,PHLAT,HLAMiner,HLA-HD,HLAvbseq,T1K,HISAT-genotype,HLApers
1,96.00 MB,95.00 MB,1.34 GB,2.80 GB,2.16 GB,3.30 GB,418.79 MB,1.77 GB,1.72 GB,1.88 GB,7.37 GB,1.35 GB
2,96.12 MB,94.99 MB,1.34 GB,2.80 GB,2.14 GB,3.30 GB,422.81 MB,1.45 GB,1.72 GB,1.88 GB,7.37 GB,1.35 GB
3,98.28 MB,95.05 MB,1.34 GB,2.81 GB,2.59 GB,3.30 GB,422.68 MB,2.50 GB,1.76 GB,1.88 GB,7.37 GB,1.35 GB
4,96.38 MB,94.95 MB,1.34 GB,2.86 GB,3.06 GB,3.30 GB,418.64 MB,1.60 GB,1.71 GB,1.85 GB,7.37 GB,1.35 GB
5,96.63 MB,95.02 MB,1.52 GB,2.80 GB,2.16 GB,3.30 GB,418.64 MB,797.73 MB,1.71 GB,1.87 GB,7.38 GB,1.35 GB
6,99.03 MB,116.79 MB,1.79 GB,2.80 GB,1.86 GB,3.30 GB,422.77 MB,1.92 GB,1.76 GB,1.88 GB,7.39 GB,1.35 GB
7,96.50 MB,94.96 MB,1.34 GB,2.29 GB,2.65 GB,3.31 GB,418.69 MB,1.45 GB,1.71 GB,1.88 GB,7.37 GB,1.35 GB
8,73.40 MB,95.02 MB,1.43 GB,2.29 GB,2.64 GB,3.30 GB,418.62 MB,1.69 GB,1.72 GB,1.87 GB,7.37 GB,1.35 GB
9,80.63 MB,95.04 MB,1.34 GB,2.29 GB,2.65 GB,3.30 GB,422.77 MB,1.45 GB,1.72 GB,1.88 GB,7.37 GB,1.35 GB
10,75.02 MB,94.91 MB,1.34 GB,2.80 GB,2.16 GB,3.30 GB,422.79 MB,1.45 GB,1.85 GB,1.88 GB,7.37 GB,1.35 GB
avg,,,,,,,,,,,,